Star Name,Identity,SAO,HD,FK5,Magnitude,Spectral class,Right ascension,Declination,Proper motion RA,Proper Motion Dec
Acamar,Theta Eridani,216113,18622,106,3.24,A4III,2h 58.262m,-40° 18.283',-0.045,0.019
Achernar,Alpha Eridani,232481,10144,54,0.46,B3Vpe,1h 37.715m,-57° 14.200',0.095,-0.035
Achird,Eta Cassiopeiae,21732,4614,,3.44,F9V+dM0,0h 49.100m,57° 48.950',1.1,-0.529
Acrab,Beta Scorpii,159682,144217,597,2.62,B1V,16h 5.437m,-19° 48.333',-0.006,-0.019
Acrux,Alpha Crucis,251904,108248,462,1.33,B0.5IV,12h 26.598m,-63° 5.950',-0.036,-0.012
Acubens,Alpha Cancri,98267,76756,337,4.25,A5m,8h 58.487m,11° 51.467',0.034,-0.031
Adhafera,Zeta Leonis,81265,89025,384,3.44,F0III,10h 16.690m,23° 25.033',0.018,-0.007
Adhara,Epsilon Canis Majoris,172676,52089,268,1.5,B2II,6h 58.625m,-28° 58.333',0.004,0.003
Ain,Epsilon Tauri,93954,28305,164,3.53,G9.5IIICN0.5,4h 28.617m,19° 10.817',0.107,-0.038
Al Giedi,Alpha Capricorni,163427,192947,761,3.57,G8IIIb,20h 18.055m,-12° 32.683',0.064,0.004
Alaraph,Beta Virginis,119076,102870,445,3.61,F9V,11h 50.695m,1° 45.883',0.743,-0.271
Albali,Epsilon Aquarii,144810,198001,781,3.77,A1V,20h 47.677m,-9° 29.750',0.035,-0.034
Albireo,Beta Cygni,87301,183912,732,3.08,K3II+B9.5V,19h 30.722m,27° 57.583',0.002,-0.002
Alchibah,Alpha Corvi,180505,105452,,4.02,F2III-IV,12h 8.413m,-24° 43.733',0.086,-0.04
Alcor,80 Ursae Majoris,28751,116842,,4.01,A5V,13h 25.225m,54° 59.283',0.118,-0.016
Alcyone,Eta Tauri,76199,23630,139,2.87,B7IIIe,3h 47.485m,24° 6.300',0.019,-0.046
Aldebaran,Alpha Tauri,94027,29139,168,0.85,K5+III,4h 35.920m,16° 30.550',0.063,-0.19
Alderamin,Alpha Cephei,19302,203280,803,2.44,A7V,21h 18.580m,62° 35.133',0.151,0.049
Alfirk,Beta Cephei,10057,205021,809,3.23,B1IV,21h 28.660m,70° 33.650',0.01,0.007
Algebar,Beta Orionis,131907,34085,194,0.12,B8Ia:,5h 14.538m,-8° 12.100',0,-0.001
Algenib,Gamma Pegasi,91781,886,7,2.83,B2IV,0h 13.237m,15° 11.017',0.003,-0.012
Algieba,Gamma Leonis,81298,89484,,2.61,K1-IIIbFe-0.5,10h 19.972m,19° 50.500',0.306,-0.147
Algol,Beta Persei,38592,19356,111,2.12,B8V,3h 8.168m,40° 57.333',0.004,-0.001
Algorab,Delta Corvi,157323,108767,465,2.95,B9.5V,12h 29.865m,-16° 30.933',-0.21,-0.138
Alhena,Gamma Geminorum,95912,47105,251,1.93,A0IV,6h 37.712m,16° 23.950',0.042,-0.042
Alioth,Epsilon Ursae Majoris,28553,112185,483,1.77,A0pCr,12h 54.028m,55° 57.583',0.112,-0.006
Alkaid,Eta Ursae Majoris,44752,120315,509,1.86,B3V,13h 47.540m,49° 18.800',-0.122,-0.011
Alkalurops,Mu Boötis,64686,137391,568,4.31,F2IVa,15h 24.490m,37° 22.633',-0.146,0.087
Alkes,Alpha Crateris,156375,95272,1283,4.08,K0+III,10h 59.775m,-18° 17.933',-0.46,0.13
Almach,Gamma Andromedae,37734,12533,73,2.26,K3-IIb,2h 3.900m,42° 19.783',0.045,-0.052
Almeisan,Gamma Geminorum,95912,47105,251,1.93,A0IV,6h 37.712m,16° 23.950',0.042,-0.042
Alnair,Alpha Gruis,230992,209952,829,1.74,B7IV,22h 8.233m,-46° 57.667',0.129,-0.151
Alnath,Beta Tauri,77168,35497,202,1.65,B7III,5h 26.292m,28° 36.450',0.022,-0.175
Alnilam,Epsilon Orionis,132346,37128,210,1.7,B0Ia,5h 36.213m,-1° 12.117',0.001,-0.002
Alnitak,Zeta Orionis,132444,37742,,2.05,O9.7Ib,5h 40.758m,-1° 56.567',0.003,-0.002
Alphard,Alpha Hydrae,136871,81797,354,1.98,K3II-III,9h 27.587m,-8° 39.517',-0.014,0.033
Alphecca,Alpha Coronae Borealis,83893,139006,578,2.23,A0V+G5V,15h 34.688m,26° 42.883',0.121,-0.089
Alpheratz,Alpha Andromedae,73765,358,1,2.06,B8IVpMnHg,0h 8.388m,29° 5.433',0.136,-0.163
Alrai,Gamma Cephei,10818,222404,893,3.21,K1III-IV,23h 39.347m,77° 37.950',-0.067,0.151
Alsaphi,Sigma Draconis,18396,185144,,4.68,K0V,19h 32.360m,69° 39.667',0.6,-1.738
Alshain,Beta Aquilae,125235,188512,749,3.71,G8IV,19h 55.313m,6° 24.400',0.048,-0.482
Alsuhail,Lambda Velorum,220878,78647,345,2.21,K4.5Ib-II,9h 7.997m,-43° 25.950',-0.019,0.013
Altair,Alpha Aquilae,125122,187642,745,0.77,A7V,19h 50.783m,8° 52.100',0.538,0.386
Altais,Delta Draconis,18222,180711,723,3.07,G9III,19h 12.555m,67° 39.700',0.094,0.093
Alterf,Lambda Leonis,80885,82308,2756,4.31,K5III,9h 31.720m,22° 58.083',-0.021,-0.033
Aludra,Eta Canis Majoris,173651,58350,283,2.45,B5Ia,7h 24.095m,-29° 18.183',-0.004,0.005
Alula Australis,Zeta Ursae Majoris,28737,116656,497,2.27,A1VpSrSi,13h 23.925m,54° 55.517',0.122,-0.02
Alula Borealis,Nu Ursae Majoris,62486,98262,425,3.48,K3-IIIBa0.3,11h 18.478m,33° 5.650',-0.026,0.028
Alwaid,Beta Draconis,30429,159181,653,2.79,G2Ib-IIa,17h 30.433m,52° 18.083',-0.016,0.015
Alya,Theta Serpentis,124068,175638,709,4.62,A5V,18h 56.220m,4° 12.217',0.049,0.031
Ancha,Theta Aquarii,145991,211391,840,4.16,G8III-IV,22h 16.833m,-7° 47.000',0.121,-0.022
Angetenar,Tau2 Eridani,168460,20720,,3.69,M3.5IIIaCa-1,3h 19.517m,-21° 45.467',0.052,0.033
Ankaa,Alpha Phoenicis,215093,2261,12,2.39,K0III,0h 26.283m,-42° 18.367',0.203,-0.396
Antares,Alpha Scorpii,184415,148478,616,0.96,M1.5Iab-Ib+B4Ve,16h 29.407m,-26° 25.917',-0.01,-0.02
Arcturus,Alpha Boötis,100944,124897,526,-0.04,K1.5IIIFe-0.5,14h 15.662m,19° 10.950',-1.093,-1.998
Arkab,Beta Sagittarii,229646,181454,1502,4.01,B9V,19h 22.638m,-44° 27.533',0.009,-0.02
Arneb,Alpha Leporis,150547,36673,207,2.58,F0Ib,5h 32.730m,-17° 49.333',0.001,0.002
Arrakis,Mu Draconis,30239,154906,,5.8,F7V,17h 5.328m,54° 28.217',-0.073,0.085
Ascella,Zeta Sagittarii,187600,176687,,2.6,A2III+A4IV,19h 2.612m,-29° 52.817',-0.015,-0.002
Asellus Australis,Delta Cancri,98087,74442,326,3.94,K0III-IIIb,8h 44.685m,18° 9.250',-0.018,-0.228
Asellus Borealis,Gamma Cancri,80378,74198,1228,4.66,A1IV,8h 43.285m,21° 28.117',-0.106,-0.039
Aspidiske,Iota Carinae,236808,80404,351,2.25,A8Ib,9h 17.090m,-59° 16.517',-0.02,0.008
Asterope,21 Tauri,76159,23432,,5.76,B8V,3h 45.907m,24° 33.283',0.011,-0.042
Atik,Zeta Persei,56799,24398,144,2.85,B1Ib,3h 54.132m,31° 53.017',0.006,-0.01
Atlas,27 Tauri,76228,23850,142,3.63,B8III,3h 49.162m,24° 3.200',0.018,-0.047
Atria,Alpha Trianguli Australis,253700,150798,625,1.92,K2IIb-IIIa,16h 48.665m,-69° 1.667',0.014,-0.034
Auva,Delta Virginis,119674,112300,484,3.38,M3+III,12h 55.603m,3° 23.850',-0.469,-0.054
Avior,Epsilon Carinae,235932,71129,315,1.86,K3III+B2:V,8h 22.513m,-59° 30.583',-0.026,0.014
Azelfafage,Pi1 Cygni,,,,,,,,,
Azha,Eta Eridani,130197,18322,104,3.89,K1-IIIbBa0.2:,2h 56.428m,-8° 53.883',0.079,-0.22
Baham,Theta Pegasi,127340,210418,834,3.53,A2Vp,22h 10.200m,6° 11.867',0.276,0.027
Baten Kaitos,Zeta Ceti,148059,11353,62,3.73,K0IIIBa0.1,1h 51.460m,-10° 20.100',0.041,-0.039
Beid,Omicron2 Eridani,131019,26574,154,4.04,F2II-III,4h 11.865m,-6° 50.250',0.01,0.082
Bellatrix,Gamma Orionis,112740,35468,201,1.64,B2III,5h 25.132m,6° 20.983',-0.009,-0.014
Benetnasch,Eta Ursae Majoris,44752,120315,509,1.86,B3V,13h 47.540m,49° 18.800',-0.122,-0.011
Betelgeuse,Alpha Orionis,113271,39801,224,0.5,M1-2Ia-Iab,5h 55.172m,7° 24.417',0.026,0.009
Botein,Delta Arietis,93328,19787,114,4.35,K2III,3h 11.630m,19° 43.600',0.152,-0.011
Canopus,Alpha Carinae,234480,45348,245,-0.72,F0II,6h 23.952m,-52° 41.750',0.022,0.021
Capella,Alpha Aurigae,40186,34029,193,0.08,G5IIIe+G0III,5h 16.690m,45° 59.883',0.076,-0.425
Caph,Beta Cassiopeiae,21133,432,2,2.27,F2III-IV,0h 9.178m,59° 8.983',0.525,-0.181
Castor,Alpha Geminorum,0,60179,,1.98,A1V,7h 34.600m,31° 53.300',-0.171,-0.098
Celaeno,16 Tauri,76126,23288,,5.46,B7IV,3h 44.803m,24° 17.367',0.011,-0.046
Celbalrai,Beta Ophiuchi,122671,161096,665,2.77,K2III,17h 43.473m,4° 34.033',-0.04,0.159
Chara,Beta Canem Venaticorum,44230,109358,470,4.26,G0V,12h 33.742m,41° 21.450',-0.705,0.292
Chort,Theta Leonis,99512,97633,423,3.34,A2V,11h 14.240m,15° 25.767',-0.061,-0.079
Cor Caroli,Alpha Canem Venaticorum,63257,112413,485,2.9,A0pSiEuHg,12h 56.028m,38° 19.100',-0.234,0.056
Coxa,Theta Leonis,99512,97633,423,3.34,A2V,11h 14.240m,15° 25.767',-0.061,-0.079
Cujam,Omega Herculis,102153,148112,613,4.57,B9pCr,16h 25.417m,14° 2.000',0.044,-0.059
Cursa,Beta Eridani,131794,33111,188,2.79,A3III,5h 7.850m,-5° 5.183',-0.095,-0.081
Dabih,Beta Capricorni,163481,193495,762,3.08,F8V+A0,20h 21.012m,-14° 46.883',0.042,0.002
Deneb,Alpha Cygni,49941,197345,777,1.25,A2Ia,20h 41.432m,45° 16.817',0.003,0.002
Deneb Algiedi,Delta Capricorni,164644,207098,819,2.87,Am,21h 47.040m,-16° 7.633',0.263,-0.297
Deneb Kaitos,Beta Ceti,147420,4128,22,2.04,G9.5IIICH-1,0h 43.590m,-17° 59.200',0.234,0.033
Denebola,Beta Leonis,99809,102647,444,2.14,A3V,11h 49.060m,14° 34.317',-0.497,-0.114
Diphda,Beta Ceti,147420,4128,22,2.04,G9.5IIICH-1,0h 43.590m,-17° 59.200',0.234,0.033
Dnoces,Iota Ursae Majoris,42630,76644,335,3.14,A7IV,8h 59.207m,48° 2.500',-0.444,-0.226
Dschubba,Delta Scorpii,184014,143275,594,2.32,B0.3IV,16h 0.333m,-22° 37.300',-0.012,-0.022
Dubhe,Alpha Ursae Majoris,15384,95689,417,1.79,K0IIIa,11h 3.728m,61° 45.050',-0.119,-0.067
Dziban,Psi Draconis,8890,162003,670,4.58,F5IV-V,17h 41.938m,72° 8.933',0.025,-0.267
Edasich,Iota Draconis,29520,137759,571,3.29,K2III,15h 24.930m,58° 57.967',-0.009,0.017
El Nath,Beta Tauri,77168,35497,202,1.65,B7III,5h 26.292m,28° 36.450',0.022,-0.175
Electra,17 Tauri,76131,23302,136,3.7,B6III,3h 44.875m,24° 6.800',0.019,-0.046
Eltanin,Gamma Draconis,30653,164058,676,2.23,K5III,17h 56.607m,51° 29.333',-0.008,-0.019
Enif,Epsilon Pegasi,127029,206778,815,2.39,K2Ib,21h 44.187m,9° 52.500',0.031,-0.001
Errai,Gamma Cephei,10818,222404,893,3.21,K1III-IV,23h 39.347m,77° 37.950',-0.067,0.151
Fomalhaut,Alpha Piscis Austrini,191524,216956,867,1.16,A3V,22h 57.652m,-29° 37.333',0.333,-0.165
Furud,Zeta Canis Majoris,196698,44402,240,3.02,B2.5V,6h 20.313m,-30° 3.800',0.009,0.003
Gacrux,Gamma Crucis,240019,108903,468,1.63,M3.5III,12h 31.165m,-57° 6.800',0.023,-0.262
Gemma,Alpha Coronae Borealis,83893,139006,578,2.23,A0V+G5V,15h 34.688m,26° 42.883',0.121,-0.089
Giauzar,Lambda Draconis,15532,100029,433,3.84,M0IIICa-1,11h 31.403m,69° 19.867',-0.039,-0.017
Giedi,Alpha Capricorni,163427,192947,761,3.57,G8IIIb,20h 18.055m,-12° 32.683',0.064,0.004
Gienah,Gamma Corvi,157176,106625,457,2.59,B8IIIpHgMn,12h 15.807m,-17° 32.517',-0.161,0.023
Gomeisa,Beta Canis Minoris,115456,58715,285,2.9,B8Ve,7h 27.150m,8° 17.367',-0.052,-0.038
Graffias,Beta Scorpii,159682,144217,597,2.62,B1V,16h 5.437m,-19° 48.333',-0.006,-0.019
Grumium,Xi Draconis,30631,163588,671,3.75,K2-III,17h 53.528m,56° 52.367',0.094,0.08
Hadar (Agena),Beta Centauri,252582,122451,518,0.61,B1III,14h 3.823m,-60° 22.383',-0.032,-0.019
Hamal,Alpha Arietis,75151,12929,74,2,K2-IIICa-1,2h 7.173m,23° 27.750',0.19,-0.148
Heka,Lambda Orionis,112921,36861,,3.54,O8III((f)),5h 35.138m,9° 56.050',0,-0.006
Homam,Zeta Pegasi,108103,214923,855,3.4,B8V,22h 41.462m,10° 49.883',0.08,-0.013
Izar,Epsilon Boötis,83500,129989,,2.7,K0-II-III,14h 44.987m,27° 4.450',-0.049,0.021
Jabbah,Nu Scorpii,159764,145502,,4.01,B3V,16h 11.995m,-19° 27.633',-0.01,-0.023
Kaffaljidhm,Gamma Ceti,110707,16970,,3.47,A3V,2h 43.300m,3° 14.150',-0.142,-0.152
Kaitain,Alpha Piscium,110291,12447,,4.33,A0pSiSr,2h 2.047m,2° 45.817',0.033,-0.005
Kaus Australis,Epsilon Sagittarii,210091,169022,689,1.85,B9.5III,18h 24.172m,-34° 23.083',-0.038,-0.124
Kaus Borealis,Lambda Sagittarii,186841,169916,692,2.81,K1+IIIb,18h 27.970m,-25° 25.300',-0.044,-0.185
